drugbank_id	mcule_id
DB00733	MCULE-8181216389
DB00733	MCULE-9475708961
DB00734	MCULE-4027175053
DB00736	MCULE-3224208952
DB00737	MCULE-6706083805
DB00737	MCULE-7463916552
DB00738	MCULE-8512828218
DB00740	MCULE-9362288181
DB00741	MCULE-4822409054
DB00741	MCULE-8953627920
DB00742	MCULE-5520163874
DB00742	MCULE-8905907565
DB00743	MCULE-1192647577
DB00743	MCULE-4436966604
DB00743	MCULE-4909487075
DB00743	MCULE-4967069764
DB00743	MCULE-6925769130
DB00743	MCULE-9096019965
DB00744	MCULE-7670046922
DB00745	MCULE-6678415272
DB00747	MCULE-1099479602
DB00747	MCULE-1606329466
DB00747	MCULE-8770434436
DB00750	MCULE-7176365958
DB00752	MCULE-4252215835
DB00752	MCULE-7015811838
DB00752	MCULE-7453146081
DB00753	MCULE-2586244040
DB00756	MCULE-3028228047
DB00758	MCULE-2362021814
DB00758	MCULE-4792993119
DB00758	MCULE-9061369538
DB00759	MCULE-2901510287
DB00759	MCULE-3752961261
DB00759	MCULE-8111555447
DB00759	MCULE-9174708419
DB00761	MCULE-5932450224
DB00761	MCULE-7728164114
DB00762	MCULE-1702653278
DB00762	MCULE-3850427409
DB00763	MCULE-9902292741
DB00765	MCULE-1700935161
DB00765	MCULE-4720986345
DB00766	MCULE-3963000692
DB00766	MCULE-4812275143
DB00766	MCULE-5161527312
DB00766	MCULE-6171735649
DB00766	MCULE-9174959968
DB00768	MCULE-5435632313
DB00768	MCULE-9083826739
DB00770	MCULE-5248179465
DB00773	MCULE-2939844524
DB00773	MCULE-7685804754
DB00776	MCULE-9100100302
DB00778	MCULE-6295450111
DB00779	MCULE-3700604125
DB00779	MCULE-6808033849
DB00780	MCULE-1121090101
DB00780	MCULE-2911295500
DB00783	MCULE-9777047906
DB00784	MCULE-1031776135
DB00787	MCULE-2703274259
DB00788	MCULE-2427044065
DB00788	MCULE-6293512671
DB00788	MCULE-8718466451
DB00789	MCULE-1192647577
DB00789	MCULE-4436966604
DB00789	MCULE-4554913963
DB00789	MCULE-4909487075
DB00789	MCULE-4967069764
DB00789	MCULE-6925769130
DB00789	MCULE-9096019965
DB00790	MCULE-1137671061
DB00792	MCULE-1458594447
DB00792	MCULE-1679949518
DB00794	MCULE-2519004832
DB00795	MCULE-7533021815
DB00797	MCULE-5694308124
DB00797	MCULE-8393678793
DB00806	MCULE-9951939936
DB00807	MCULE-8418206804
DB00807	MCULE-9291072201
DB00808	MCULE-1549472772
DB00809	MCULE-4102613027
DB00811	MCULE-1246105264
DB00811	MCULE-9495128592
DB00812	MCULE-4303869118
DB00814	MCULE-4138373089
DB00815	MCULE-3833394421
DB00816	MCULE-1763503293
DB00816	MCULE-8722254342
DB00818	MCULE-1903292305
DB00819	MCULE-4029778803
DB00821	MCULE-1374535547
DB00821	MCULE-4460410269
DB00821	MCULE-9476030813
DB00822	MCULE-1443050857
DB00825	MCULE-1560042129
DB00825	MCULE-1773565901
DB00825	MCULE-3070949324
DB00825	MCULE-4166374217
DB00825	MCULE-4483343064
DB00825	MCULE-5125262116
DB00825	MCULE-6806905940
DB00825	MCULE-8181548788
DB00825	MCULE-9118405009
DB00825	MCULE-9383663409
DB00826	MCULE-4387602164
DB00829	MCULE-8990989144
DB00831	MCULE-1362676470
DB00831	MCULE-3726407978
DB00834	MCULE-7321395114
DB00834	MCULE-7680389329
DB00836	MCULE-3957783776
DB00836	MCULE-8938403173
DB00841	MCULE-3362067907
DB00846	MCULE-9173701731
DB00847	MCULE-1838427828
DB00848	MCULE-4392506462
DB00848	MCULE-7118728152
DB00849	MCULE-2528762430
DB00850	MCULE-2801157388
DB00850	MCULE-6019566915
DB00851	MCULE-7282678858
DB00852	MCULE-5756045923
DB00852	MCULE-9256165953
DB00852	MCULE-9848295327
DB00853	MCULE-9414994158
DB00854	MCULE-4370362098
DB00854	MCULE-9243891828
DB00856	MCULE-1985229890
DB00857	MCULE-7200921281
DB00857	MCULE-8189168435
DB00858	MCULE-5849039211
DB00859	MCULE-4184299411
DB00859	MCULE-5986342172
DB00859	MCULE-8542176080
DB00859	MCULE-9539588985
DB00859	MCULE-9856748563
DB00862	MCULE-5211071344
DB00862	MCULE-5671555647
DB00863	MCULE-2682233624
DB00863	MCULE-8853752958
DB00874	MCULE-1862197560
DB00874	MCULE-8909929116
DB00874	MCULE-9143199682
DB00874	MCULE-9975651571
DB00876	MCULE-9758340949
DB00878	MCULE-4644073142
DB00880	MCULE-3497410863
DB00881	MCULE-5042350385
DB00881	MCULE-5721366729
DB00881	MCULE-7543253438
DB00882	MCULE-3924797904
DB00887	MCULE-6802013568
DB00889	MCULE-2461768801
DB00889	MCULE-2474398583
DB00891	MCULE-7911106459
DB00894	MCULE-6085619223
DB00895	MCULE-1814780282
DB00895	MCULE-3226089160
DB00895	MCULE-6537319758
DB00895	MCULE-7646209988
DB00898	MCULE-8818474596
DB00900	MCULE-2491895021
DB00903	MCULE-6140194266
DB00904	MCULE-4423935922
DB00904	MCULE-8033664166
DB00904	MCULE-9438746800
DB00908	MCULE-1532027186
DB00908	MCULE-3072325944
DB00909	MCULE-1873297847
DB00911	MCULE-2580495783
DB00912	MCULE-3611790330
DB00912	MCULE-5348082374
DB00914	MCULE-1254555434
DB00914	MCULE-2649903903
DB00916	MCULE-6891596695
DB00919	MCULE-1267098066
DB00919	MCULE-3065096481
DB00920	MCULE-8066161520
DB00920	MCULE-9272232163
DB00927	MCULE-1972636463
DB00928	MCULE-7974162026
