drugbank_id	bindingdb_id
DB01620	50017656
DB01621	81798
DB01622	81793
DB01623	78576
DB01623	86187
DB01624	50393327
DB01624	79209
DB01624	81491
DB01625	82074
DB01626	50172756
DB01627	50335522
DB01627	92333
DB01628	50072064
DB01629	50132299
DB01640	15337
DB01642	103981
DB01642	120768
DB01642	50147927
DB01642	50166886
DB01642	50243888
DB01642	50244377
DB01643	50332929
DB01645	19459
DB01647	14772
DB01647	50308512
DB01650	50146462
DB01656	14774
DB01658	50373729
DB01660	36312
DB01660	50118217
DB01660	86479
DB01664	50107954
DB01668	114207
DB01668	29507
DB01671	50312640
DB01671	50351172
DB01672	92456
DB01677	26122
DB01677	50257203
DB01678	14691
DB01683	87059
DB01685	50311275
DB01686	92901
DB01687	50370453
DB01688	50008543
DB01689	50222612
DB01690	50184368
DB01690	50308336
DB01691	8733
DB01694	50427212
DB01695	50379999
DB01696	50325824
DB01700	22579
DB01700	50080321
DB01702	52946
DB01703	50167930
DB01703	50167931
DB01703	50167933
DB01703	50167934
DB01703	50167935
DB01703	50167936
DB01703	50167937
DB01708	50223368
DB01717	50404859
DB01717	50435017
DB01717	86485
DB01718	58941
DB01720	50166405
DB01722	50167951
DB01723	50086090
DB01723	50086093
DB01723	50132541
DB01727	50244093
DB01727	50431013
DB01727	92496
DB01729	50075183
DB01729	50082886
DB01732	1157
DB01732	1158
DB01732	1159
DB01732	1160
DB01732	50121504
DB01733	50362544
DB01733	50362545
DB01734	50416040
DB01737	50067532
DB01739	18140
DB01741	14342
DB01741	14929
DB01744	36263
DB01745	50072854
DB01746	50219348
DB01748	12013
DB01750	50022186
DB01752	50009672
DB01752	50109313
DB01752	50142501
DB01752	50308984
DB01752	50405276
