drugbank_id	zinc_id
DB00421	ZINC43574035
DB00421	ZINC43574037
DB00421	ZINC44690083
DB00422	ZINC00001267
DB00422	ZINC00896709
DB00422	ZINC00896711
DB00422	ZINC02522648
DB00423	ZINC00057340
DB00423	ZINC00057341
DB00424	ZINC00000056
DB00424	ZINC00057173
DB00424	ZINC12358661
DB00424	ZINC12503096
DB00425	ZINC00003876
DB00426	ZINC01530635
DB00427	ZINC00002227
DB00427	ZINC12503099
DB00428	ZINC03831470
DB00428	ZINC03831472
DB00428	ZINC03977737
DB00428	ZINC03995962
DB00428	ZINC03995964
DB00428	ZINC03995966
DB00428	ZINC03995968
DB00428	ZINC04245682
DB00428	ZINC09214621
DB00428	ZINC11726812
DB00428	ZINC21985248
DB00428	ZINC33943585
DB00428	ZINC33943586
DB00429	ZINC00896695
DB00429	ZINC05513320
DB00429	ZINC16343305
DB00429	ZINC16343308
DB00429	ZINC27641389
